filmtype,dart,elongation-MD,elongation-TD,modulus-MD,modulus-TD,strength-MD,strength-TD
BOPP,0.67791,206,37.4,1939,3241,119,226
BOPP,0.6507936,214,46.02,1974,3316,116,247
BOPP,0.6643518,146,21.81,2378,3710,116,209
BOPP,0.4880952,170,25.65,2136,3776,127,235
BOPP,0.67791,148,30.45,2150,3572,117,261
BOPP,0.6236772,170,26.23,2156,3676,122,242
BOPP,0.5694444,184,30.5,2057,3671,132,259
BOPP,0.5016534,153,6.25,2449,3800,125,90
BOPP,0.4880952,160,10.22,2487,3979,131,120
BOPP,0.5152116,166,16.7,2486,3914,139,164
BOPP,0.3931878,181,11.48,2492,3939,134,129
BOPP,0.474537,171,7.65,2555,3675,135,103
